epoch,step,train_loss,train_mae,train_mape,train_mse,train_r2,val_loss,val_mae,val_mape,val_mse,val_r2
0,2615,,,,,,1.499292254447937,0.9577246308326721,0.2563886046409607,1.4035202264785767,-0.20688705146312714
0,2615,2.2365760803222656,1.157067060470581,0.26240724325180054,2.12086820602417,-0.4334479868412018,,,,,
1,5231,,,,,,1.5889726877212524,0.9840089082717896,0.2665971517562866,1.4905723333358765,-0.2897467613220215
1,5231,1.9219874143600464,1.0888911485671997,0.24980978667736053,1.8130981922149658,-0.2249491661787033,,,,,
2,7847,,,,,,1.4666489362716675,0.9477047920227051,0.25190025568008423,1.37187922000885,-0.18031755089759827
2,7847,1.8378212451934814,1.0631033182144165,0.24477002024650574,1.7315118312835693,-0.16642752289772034,,,,,
3,10463,,,,,,1.4210283756256104,0.934687614440918,0.24462781846523285,1.3275593519210815,-0.14109237492084503
3,10463,1.7532963752746582,1.0402156114578247,0.24028094112873077,1.649274468421936,-0.11017805337905884,,,,,
4,13079,,,,,,1.372459888458252,0.9216828942298889,0.23518693447113037,1.2802913188934326,-0.09513318538665771
4,13079,1.6934523582458496,1.0225720405578613,0.2369004786014557,1.5911964178085327,-0.06914877146482468,,,,,
5,15695,,,,,,1.5193933248519897,0.9616085290908813,0.2586907148361206,1.423232078552246,-0.22826841473579407
5,15695,1.65659499168396,1.0117342472076416,0.23519353568553925,1.555423378944397,-0.047387540340423584,,,,,
6,18311,,,,,,1.3701574802398682,0.92054682970047,0.23535357415676117,1.2781026363372803,-0.0943097472190857
6,18311,1.6452829837799072,1.0087320804595947,0.23489157855510712,1.5444122552871704,-0.03746761754155159,,,,,
7,20927,,,,,,1.4659233093261719,0.9468214511871338,0.2517242729663849,1.3712413311004639,-0.18501697480678558
7,20927,1.6399672031402588,1.0070313215255737,0.23448459804058075,1.5392647981643677,-0.032653387635946274,,,,,
8,23543,,,,,,1.4491809606552124,0.9423383474349976,0.25056445598602295,1.3549469709396362,-0.16631768643856049
8,23543,1.6313395500183105,1.0039829015731812,0.2339518964290619,1.5309417247772217,-0.028658263385295868,,,,,
9,26159,,,,,,1.392271876335144,0.9264132976531982,0.24006590247154236,1.2996313571929932,-0.11617662757635117
9,26159,1.6314598321914673,1.0042647123336792,0.23418329656124115,1.5310341119766235,-0.028277015313506126,,,,,
