epoch,step,train_loss,train_mae,train_mape,train_mse,train_r2,val_loss,val_mae,val_mape,val_mse,val_r2
0,2615,,,,,,1.528891682624817,0.9668654799461365,0.25920698046684265,1.4322054386138916,-0.2339695245027542
0,2615,2.2227818965911865,1.156999111175537,0.2625475227832794,2.1070809364318848,-0.4325430393218994,,,,,
1,5231,,,,,,1.531057596206665,0.9669824838638306,0.2607358396053314,1.4343587160110474,-0.2345823049545288
1,5231,1.929884433746338,1.0917388200759888,0.2507382333278656,1.8207154273986816,-0.22925709187984467,,,,,
2,7847,,,,,,1.5855919122695923,0.9826875329017639,0.2666073739528656,1.4873230457305908,-0.28633132576942444
2,7847,1.8388698101043701,1.0662713050842285,0.24553562700748444,1.7322425842285156,-0.16656285524368286,,,,,
3,10463,,,,,,1.4524024724960327,0.9440299868583679,0.2490331083536148,1.357999563217163,-0.1676192432641983
3,10463,1.7491579055786133,1.040053367614746,0.2407381236553192,1.6451504230499268,-0.10428451001644135,,,,,
4,13079,,,,,,1.5044331550598145,0.9586461782455444,0.2561509311199188,1.4085685014724731,-0.21448960900306702
4,13079,1.6988409757614136,1.0256682634353638,0.23826104402542114,1.5962722301483154,-0.07549284398555756,,,,,
5,15695,,,,,,1.443222999572754,0.9412120580673218,0.24989064037799835,1.3491019010543823,-0.1560966521501541
5,15695,1.6690752506256104,1.0153173208236694,0.236434668302536,1.5675427913665771,-0.05278055742383003,,,,,
6,18311,,,,,,1.4126341342926025,0.9325435757637024,0.24437515437602997,1.3193788528442383,-0.13066624104976654
6,18311,1.6512680053710938,1.0092440843582153,0.23508356511592865,1.550343632698059,-0.040321577340364456,,,,,
7,20927,,,,,,1.4001752138137817,0.9281625151634216,0.2410634309053421,1.3073581457138062,-0.12265973538160324
7,20927,1.6415404081344604,1.0087567567825317,0.23492120206356049,1.5406622886657715,-0.03432575240731239,,,,,
8,23543,,,,,,1.5925331115722656,0.9836739897727966,0.26871728897094727,1.4941657781600952,-0.2925240099430084
8,23543,1.632846474647522,1.003365159034729,0.23375871777534485,1.5325088500976562,-0.030372757464647293,,,,,
9,26159,,,,,,1.437364935874939,0.9389698505401611,0.24892069399356842,1.3434679508209229,-0.1550927311182022
9,26159,1.6317822933197021,1.0041600465774536,0.2341097742319107,1.5313677787780762,-0.02617274411022663,,,,,
10,28775,,,,,,1.4654450416564941,0.9472371935844421,0.2527276575565338,1.3707209825515747,-0.1789877861738205
10,28775,1.6209521293640137,1.0012388229370117,0.23342348635196686,1.5208297967910767,-0.018297594040632248,,,,,
