epoch,step,train_loss,train_mae,train_mape,train_mse,train_r2,val_loss,val_mae,val_mape,val_mse,val_r2
0,2615,,,,,,1.507907748222351,0.959807813167572,0.25707104802131653,1.4119267463684082,-0.22096285223960876
0,2615,2.335923671722412,1.1779701709747314,0.2661341428756714,2.2181310653686523,-0.5263127088546753,,,,,
1,5231,,,,,,1.3876112699508667,0.9287245273590088,0.23072803020477295,1.2947391271591187,-0.10873991250991821
1,5231,1.9307430982589722,1.0902764797210693,0.24851694703102112,1.8217116594314575,-0.23182269930839539,,,,,
2,7847,,,,,,1.378150463104248,0.9252986311912537,0.23229168355464935,1.285620927810669,-0.09961572289466858
2,7847,1.8511631488800049,1.0687674283981323,0.24471965432167053,1.7442843914031982,-0.1757296919822693,,,,,
3,10463,,,,,,1.4673619270324707,0.9478613138198853,0.2526841163635254,1.3725758790969849,-0.17884008586406708
3,10463,1.7647703886032104,1.0432926416397095,0.23978012800216675,1.6604429483413696,-0.12059377878904343,,,,,
4,13079,,,,,,1.4377644062042236,0.9390224814414978,0.24873338639736176,1.3438631296157837,-0.15568894147872925
4,13079,1.6984126567840576,1.0247688293457031,0.23653045296669006,1.595935583114624,-0.07710419595241547,,,,,
5,15695,,,,,,1.4226410388946533,0.9345898032188416,0.24529880285263062,1.3291816711425781,-0.14284099638462067
5,15695,1.6539583206176758,1.0108530521392822,0.23395314812660217,1.5528725385665894,-0.04431147500872612,,,,,
6,18311,,,,,,1.4085615873336792,0.9301859140396118,0.24386091530323029,1.3155425786972046,-0.12982317805290222
6,18311,1.6124650239944458,0.9980401992797852,0.23134951293468475,1.5126622915267944,-0.016707610338926315,,,,,
7,20927,,,,,,1.3951261043548584,0.9276498556137085,0.23901012539863586,1.3023613691329956,-0.11902176588773727
7,20927,1.6059424877166748,0.9948856234550476,0.2308187186717987,1.506451964378357,-0.01469934917986393,,,,,
8,23543,,,,,,1.3861860036849976,0.9242512583732605,0.23973803222179413,1.293761134147644,-0.11258524656295776
8,23543,1.6045035123825073,0.9951304197311401,0.23084832727909088,1.5049916505813599,-0.012913431972265244,,,,,
9,26159,,,,,,1.3900076150894165,0.9251605272293091,0.23991069197654724,1.297492265701294,-0.11469440162181854
9,26159,1.5839461088180542,0.9888642430305481,0.22915993630886078,1.4850603342056274,-0.0015717765782028437,,,,,
