epoch,step,train_loss,train_mae,train_mape,train_mse,train_r2,val_loss,val_mae,val_mape,val_mse,val_r2
0,2615,,,,,,1.4669885635375977,0.9472618103027344,0.25096195936203003,1.37226140499115,-0.1749102771282196
0,2615,2.259497880935669,1.1489619016647339,0.2595576047897339,2.144598960876465,-0.4497881829738617,,,,,
1,5231,,,,,,1.3622362613677979,0.9189104437828064,0.23097290098667145,1.2703452110290527,-0.08765420317649841
1,5231,1.8333114385604858,1.0616565942764282,0.24246583878993988,1.727146863937378,-0.16934294998645782,,,,,
2,7847,,,,,,1.357425570487976,0.9174675345420837,0.23153023421764374,1.2656779289245605,-0.08419230580329895
2,7847,1.738442301750183,1.035944938659668,0.2371634840965271,1.6348460912704468,-0.10757901519536972,,,,,
3,10463,,,,,,1.355807900428772,0.9175761938095093,0.22839045524597168,1.2640509605407715,-0.08494553714990616
3,10463,1.6583094596862793,1.0114591121673584,0.23258620500564575,1.5571630001068115,-0.05504283681511879,,,,,
4,13079,,,,,,1.350981593132019,0.9140536785125732,0.23132073879241943,1.2595769166946411,-0.08200550824403763
4,13079,1.5956100225448608,0.9932070970535278,0.22939693927764893,1.4962894916534424,-0.011770900338888168,,,,,
5,15695,,,,,,1.3885316848754883,0.924889862537384,0.23212474584579468,1.2960423231124878,-0.11557940393686295
5,15695,1.5697615146636963,0.9850248694419861,0.2282974123954773,1.4712587594985962,0.007911764085292816,,,,,
6,18311,,,,,,1.3649427890777588,0.917264461517334,0.2343834936618805,1.2732150554656982,-0.09329411387443542
6,18311,1.5542222261428833,0.9801102876663208,0.22740361094474792,1.456209421157837,0.017429696395993233,,,,,
7,20927,,,,,,1.361672282218933,0.91743004322052,0.23090361058712006,1.2699295282363892,-0.08951351046562195
7,20927,1.5447922945022583,0.9781901240348816,0.22714930772781372,1.4469764232635498,0.025312276557087898,,,,,
8,23543,,,,,,1.3626749515533447,0.9172133207321167,0.23282979428768158,1.2709532976150513,-0.0913715735077858
8,23543,1.5384101867675781,0.9762468934059143,0.2265903502702713,1.440785527229309,0.027391087263822556,,,,,
9,26159,,,,,,1.3526954650878906,0.9142234921455383,0.23388345539569855,1.2612733840942383,-0.08033975958824158
9,26159,1.5283945798873901,0.9723230004310608,0.22591039538383484,1.4311619997024536,0.03515288233757019,,,,,
10,28775,,,,,,1.3641183376312256,0.9166665077209473,0.2365441620349884,1.2724515199661255,-0.09038010984659195
10,28775,1.5266051292419434,0.9712720513343811,0.2256624847650528,1.4294785261154175,0.032911065965890884,,,,,
11,31391,,,,,,1.366658329963684,0.916754961013794,0.23605048656463623,1.2749834060668945,-0.09368963539600372
11,31391,1.5265964269638062,0.9716879725456238,0.2257441282272339,1.429428219795227,0.03659211844205856,,,,,
